draw_date,draw_date_text,year_be,first_prize,first_prize_digits,last3_numbers,last2_number,near_first_prize,special_first_prize_raw,prize2_numbers,prize3_numbers,prize4_numbers,prize5_numbers,has_detail_section,source_url,source_file
1993-10-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ตุลาคม 2536,2536,3415973,7,401|489|682|928,26,,,,,,,False,https://myhora.com/lottery/result-01-10-2536.aspx,1993-10-01-BE2536.html
1993-09-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กันยายน 2536,2536,4286755,7,296|504|890|963,11,,,,,,,False,https://myhora.com/lottery/result-16-09-2536.aspx,1993-09-16-BE2536.html
1993-09-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กันยายน 2536,2536,2812096,7,181|218|227|738,00,,,,,,,False,https://myhora.com/lottery/result-01-09-2536.aspx,1993-09-01-BE2536.html
1993-08-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 สิงหาคม 2536,2536,4088644,7,030|033|200|260,86,,,,,,,False,https://myhora.com/lottery/result-16-08-2536.aspx,1993-08-16-BE2536.html
1993-08-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 สิงหาคม 2536,2536,4137744,7,273|446|778|905,06,,,,,,,False,https://myhora.com/lottery/result-01-08-2536.aspx,1993-08-01-BE2536.html
1993-07-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กรกฎาคม 2536,2536,5686061,7,702|818|865|873,21,,,,,,,False,https://myhora.com/lottery/result-16-07-2536.aspx,1993-07-16-BE2536.html
1993-07-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กรกฎาคม 2536,2536,3820203,7,189|206|213|729,29,,,,,,,False,https://myhora.com/lottery/result-01-07-2536.aspx,1993-07-01-BE2536.html
1993-06-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มิถุนายน 2536,2536,2119871,7,146|223|955|961,39,,,,,,,False,https://myhora.com/lottery/result-16-06-2536.aspx,1993-06-16-BE2536.html
1993-06-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 มิถุนายน 2536,2536,3488477,7,011|645|813|815,61,,,,,,,False,https://myhora.com/lottery/result-01-06-2536.aspx,1993-06-01-BE2536.html
1993-05-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 พฤษภาคม 2536,2536,1633983,7,109|606|740|812,53,,,,,,,False,https://myhora.com/lottery/result-16-05-2536.aspx,1993-05-16-BE2536.html
1993-05-02,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 2 พฤษภาคม 2536,2536,7749508,7,532|661|783|916,99,,,,,,,False,https://myhora.com/lottery/result-02-05-2536.aspx,1993-05-02-BE2536.html
1993-04-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 เมษายน 2536,2536,5632018,7,200|265|970|995,09,,,,,,,False,https://myhora.com/lottery/result-16-04-2536.aspx,1993-04-16-BE2536.html
1993-04-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 เมษายน 2536,2536,5825558,7,060|217|255|859,89,,,,,,,False,https://myhora.com/lottery/result-01-04-2536.aspx,1993-04-01-BE2536.html
1993-03-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มีนาคม 2536,2536,7680699,7,509|547|554|731,98,,,,,,,False,https://myhora.com/lottery/result-16-03-2536.aspx,1993-03-16-BE2536.html
1993-03-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 มีนาคม 2536,2536,4006281,7,065|449|492|968,19,,,,,,,False,https://myhora.com/lottery/result-01-03-2536.aspx,1993-03-01-BE2536.html
1993-02-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กุมภาพันธ์ 2536,2536,7549455,7,031|034|165|850,41,,,,,,,False,https://myhora.com/lottery/result-16-02-2536.aspx,1993-02-16-BE2536.html
1993-02-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กุมภาพันธ์ 2536,2536,7459337,7,171|507|767|986,21,,,,,,,False,https://myhora.com/lottery/result-01-02-2536.aspx,1993-02-01-BE2536.html
1993-01-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มกราคม 2536,2536,5423816,7,335|419|620|947,25,,,,,,,False,https://myhora.com/lottery/result-16-01-2536.aspx,1993-01-16-BE2536.html
1992-12-30,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 30 ธันวาคม 2535,2535,6662150,7,510|563|795|810,23,,,,,,,False,https://myhora.com/lottery/result-30-12-2535.aspx,1992-12-30-BE2535.html
1992-12-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ธันวาคม 2535,2535,4826531,7,383|601|851|945,92,,,,,,,False,https://myhora.com/lottery/result-16-12-2535.aspx,1992-12-16-BE2535.html
1992-12-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ธันวาคม 2535,2535,7120927,7,019|063|153|406,65,,,,,,,False,https://myhora.com/lottery/result-01-12-2535.aspx,1992-12-01-BE2535.html
1992-11-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 พฤศจิกายน 2535,2535,3685682,7,049|223|295|632,45,,,,,,,False,https://myhora.com/lottery/result-16-11-2535.aspx,1992-11-16-BE2535.html
1992-11-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 พฤศจิกายน 2535,2535,6267821,7,046|263|789|879,35,,,,,,,False,https://myhora.com/lottery/result-01-11-2535.aspx,1992-11-01-BE2535.html
1992-10-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ตุลาคม 2535,2535,3576993,7,037|312|412|964,79,,,,,,,False,https://myhora.com/lottery/result-16-10-2535.aspx,1992-10-16-BE2535.html
1992-10-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ตุลาคม 2535,2535,6379578,7,300|654|752|765,71,,,,,,,False,https://myhora.com/lottery/result-01-10-2535.aspx,1992-10-01-BE2535.html
1992-09-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กันยายน 2535,2535,6874108,7,030|127|221|623,88,,,,,,,False,https://myhora.com/lottery/result-16-09-2535.aspx,1992-09-16-BE2535.html
1992-09-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กันยายน 2535,2535,1446615,7,056|060|125|307,68,,,,,,,False,https://myhora.com/lottery/result-01-09-2535.aspx,1992-09-01-BE2535.html
1992-08-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 สิงหาคม 2535,2535,6234607,7,151|251|422|978,91,,,,,,,False,https://myhora.com/lottery/result-16-08-2535.aspx,1992-08-16-BE2535.html
1992-08-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 สิงหาคม 2535,2535,6697778,7,575|593|712|935,86,,,,,,,False,https://myhora.com/lottery/result-01-08-2535.aspx,1992-08-01-BE2535.html
1992-07-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กรกฎาคม 2535,2535,7954430,7,324|339|492|756,87,,,,,,,False,https://myhora.com/lottery/result-16-07-2535.aspx,1992-07-16-BE2535.html
1992-07-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กรกฎาคม 2535,2535,5119968,7,561|702|813|999,56,,,,,,,False,https://myhora.com/lottery/result-01-07-2535.aspx,1992-07-01-BE2535.html
1992-06-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มิถุนายน 2535,2535,5569432,7,221|392|880|914,92,,,,,,,False,https://myhora.com/lottery/result-16-06-2535.aspx,1992-06-16-BE2535.html
